Search the first 100000000 integer powers of ^3 or more for Beal's triples.
Search begins for B^j = 0:0, log10(Bj) = 0
23.9861 log10 of highest power in the list
hardware concurrency: 16
trials, zeros, log10(A^i), log10(B^j), A, i, B, j, C, k, GCD(A B C)
19706078, 221, 11.9906, 12.144, 9928, 3, 11169, 3, 1241, 4, 1241
19743961, 222, 10.9424, 12.1465, 544, 4, 1088, 4, 272, 5, 272
19953010, 223, 11.2504, 12.1535, 75, 6, 11250, 3, 1125, 4, 75
20361621, 224, 9.50018, 12.1671, 1468, 3, 1101, 4, 11377, 3, 367
21073545, 225, 11.4763, 12.1891, 6690, 3, 1115, 4, 12265, 3, 1115
22399044, 226, 10.3668, 12.2307, 2855, 3, 1142, 4, 11991, 3, 571
22601379, 227, 11.9895, 12.2358, 9920, 3, 280, 5, 13920, 3, 40
22635187, 228, 11.3922, 12.2373, 6272, 3, 56, 7, 112, 6, 56
23234261, 229, 11.5893, 12.2548, 7296, 3, 12160, 3, 1216, 4, 1216
23371486, 230, 12.0276, 12.2582, 1016, 4, 12192, 3, 14224, 3, 1016
25356685, 231, 12.2343, 12.3124, 11970, 3, 1197, 4, 15561, 3, 1197
25809771, 232, 11.341, 12.3254, 6030, 3, 1206, 4, 13266, 3, 1206
25979831, 233, 9.91283, 12.3297, 2015, 3, 1209, 4, 12896, 3, 403
26398260, 234, 11.9641, 12.3397, 9728, 3, 1216, 4, 14592, 3, 1216
26518958, 235, 12.3422, 12.3422, 2, 41, 2, 41, 2, 42, 2
26750008, 236, 11.6489, 12.349, 817, 4, 13072, 3, 13889, 3, 817
26926697, 237, 12.1063, 12.3525, 10850, 3, 35, 8, 15225, 3, 35
26956202, 238, 11.4509, 12.354, 3, 24, 13122, 3, 3, 26, 3
27012143, 239, 12.354, 12.354, 13122, 3, 13122, 3, 1458, 4, 1458
28217597, 240, 11.9195, 12.3842, 9401, 3, 13430, 3, 1343, 4, 1343
29192123, 241, 12.3102, 12.4067, 12688, 3, 13664, 3, 1464, 4, 488
29345836, 242, 11.1145, 12.4111, 5068, 3, 1267, 4, 13937, 3, 1267
30171186, 243, 11.5868, 12.4292, 7282, 3, 13902, 3, 1324, 4, 662
30629463, 244, 11.3099, 12.4397, 5888, 3, 1288, 4, 14352, 3, 184
31636361, 245, 10.7772, 12.4611, 3912, 3, 1304, 4, 14344, 3, 1304
32013096, 246, 12.275, 12.4684, 12350, 3, 14326, 3, 1482, 4, 494
32085498, 247, 8.38555, 12.4707, 624, 3, 14352, 3, 312, 5, 312
32838479, 248, 10.2678, 12.4862, 2646, 3, 1323, 4, 14553, 3, 1323
33296199, 249, 9.37155, 12.4954, 1330, 3, 1330, 4, 14630, 3, 1330
33402916, 250, 9.37351, 12.4977, 1332, 3, 14652, 3, 1332, 4, 1332
33744737, 251, 10.2834, 12.5045, 2678, 3, 14729, 3, 1339, 4, 1339
34504568, 252, 12.4973, 12.5182, 61, 7, 122, 6, 18605, 3, 61
34516939, 253, 12.019, 12.5188, 1011, 4, 1348, 4, 337, 5, 337
34688518, 254, 10.8301, 12.5229, 4074, 3, 14938, 3, 1358, 4, 1358
35560722, 255, 12.2479, 12.5387, 12096, 3, 15120, 3, 1512, 4, 1512
36161060, 256, 12.5494, 12.5494, 1372, 4, 1372, 4, 19208, 3, 1372
36465205, 257, 12.2846, 12.5553, 1178, 4, 15314, 3, 17670, 3, 1178
36568300, 258, 11.2399, 12.5579, 5580, 3, 15345, 3, 1395, 4, 1395
36766325, 259, 12.2534, 12.5608, 13, 11, 15379, 3, 26, 9, 13
37016761, 260, 11.9596, 12.5658, 9695, 3, 1385, 4, 16620, 3, 1385
37887016, 261, 11.8533, 12.5813, 919, 4, 15623, 3, 16542, 3, 919
38679025, 262, 10.796, 12.5954, 63, 6, 63, 7, 126, 6, 63
39024702, 263, 12.5746, 12.6006, 15543, 3, 1413, 4, 19782, 3, 1413
39765403, 264, 11.5864, 12.6137, 7280, 3, 16016, 3, 1456, 4, 1456
39989855, 265, 12.2282, 12.6171, 11914, 3, 16058, 3, 1554, 4, 518
41176568, 266, 10.5817, 12.6371, 3367, 3, 1443, 4, 16354, 3, 481
41620446, 267, 12.6433, 12.6433, 2, 42, 2, 42, 2, 43, 2
43069269, 268, 12.3629, 12.6669, 13212, 3, 1468, 4, 19084, 3, 1468
43810178, 269, 11.1412, 12.6787, 5173, 3, 1478, 4, 16997, 3, 739
44140537, 270, 10.8775, 12.6837, 65, 6, 130, 6, 65, 7, 65
